Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,1,21,20,12,47,555,609,24.012501,95391,521.01941
2015,1,21,20,13,31,640,608,24.2875,95387,520.75519
2015,1,21,20,14,1,177,611,24.525,95386,520.84241
2015,1,21,20,14,29,645,593,24.775,95384,521.28101
2015,1,21,20,16,42,634,599,25.768749,95380,521.5426
2015,1,21,20,17,6,638,592,25.9125,95386,520.49359
2015,1,21,20,17,34,638,602,26.106251,95376,521.45538
2015,1,21,20,18,26,628,605,26.43125,95386,521.01941
2015,1,21,20,19,20,625,570,26.775,95375,522.33002
2015,1,21,20,19,52,618,595,26.987499,95379,522.06573
2015,1,21,20,20,20,629,575,27.19375,95373,521.5426
2015,1,21,20,20,50,629,592,27.40625,95367,522.59155
2015,1,21,20,21,16,610,519,27.612499,95372,522.59155
2015,1,21,20,21,42,626,586,27.8125,95374,522.2428
2015,1,21,20,22,9,621,580,28.03125,95371,522.41718
2015,1,21,20,22,48,613,567,28.331249,95369,522.41718
2015,1,21,20,23,18,600,587,28.543751,95362,522.85315
2015,1,21,21,9,48,469,317,26.543751,95355,524.16638
2015,1,21,21,10,12,427,393,26.581249,95357,523.55334
2015,1,22,14,16,11,0,1,22.049999,95493,511.49667
2015,1,22,14,58,55,501,484,27.65625,95338,524.60236
2015,1,22,14,59,22,500,484,27.700001,95337,525.21533
2015,1,22,14,59,49,499,461,27.74375,95331,525.56415
2015,1,22,15,9,38,515,476,27.36875,95334,526.00275
2015,1,22,15,10,8,505,516,27.387501,95336,525.65131
2015,1,22,15,10,38,519,519,27.4625,95326,526.3515
2015,1,22,15,25,6,542,547,27.25,95320,526.43872
2015,1,22,15,25,53,542,556,27.40625,95320,526.87732
2015,1,22,15,26,24,512,557,27.543751,95322,526.78748
2015,1,22,15,39,39,549,560,27.81875,95320,526.6131
2015,1,22,15,40,6,551,562,27.856251,95323,526.52594
2015,1,22,15,40,49,544,562,27.956249,95321,526.52594
2015,1,22,15,54,35,414,536,28.106251,95315,527.05176
2015,1,22,15,55,5,517,566,28.15,95318,526.87732
2015,1,22,15,55,31,532,565,28.225,95317,526.87732
2015,1,22,16,9,36,582,620,27.84375,95308,527.48773
2015,1,22,16,10,0,570,623,27.9,95311,527.13892
2015,1,22,16,10,25,580,577,27.96875,95318,527.75195
2015,1,22,16,24,38,575,645,28.325001,95290,528.8009
2015,1,22,16,25,6,595,603,28.393749,95291,529.14972
2015,1,22,16,25,31,576,644,28.475,95292,529.14972
2015,1,22,16,39,42,525,585,29.487499,95272,530.55011
2015,1,22,16,40,8,600,659,29.481251,95277,530.37573
2015,1,22,16,40,36,596,662,29.512501,95280,530.28589
2015,1,22,16,43,13,589,649,29.924999,95277,530.72449
2015,1,22,16,54,49,628,696,31.03125,95265,531.5119
2015,1,22,16,55,15,598,682,31.106251,95270,531.42468
2015,1,22,16,55,43,616,671,31.1875,95267,530.98608
2015,1,22,17,9,41,608,696,30.025,95258,531.68628
2015,1,22,17,10,6,594,677,30.03125,95257,532.47369
2015,1,22,17,10,34,611,682,30.081249,95253,532.29932
2015,1,22,17,24,46,535,702,29.206249,95246,533.34827
2015,1,22,17,25,13,621,649,29.24375,95248,533.69971
2015,1,22,17,25,38,636,698,29.30625,95245,532.99951
2015,1,22,17,39,56,642,683,29.0375,95225,535.01288
2015,1,22,17,40,24,640,660,29.06875,95230,534.74866
2015,1,22,17,40,48,635,661,29.15,95232,534.57428
2015,1,22,17,54,46,650,712,28.956249,95216,536.06189
2015,1,22,17,55,10,527,710,29,95207,536.67487
2015,1,22,17,55,37,643,711,29.0875,95216,536.14911
2015,1,22,18,9,47,653,714,28.956249,95194,538.07532
2015,1,22,18,10,12,649,714,28.99375,95194,538.16248
2015,1,22,18,10,37,635,715,29.05625,95188,537.81372
2015,1,22,18,24,38,641,702,28.975,95181,538.77551
2015,1,22,18,25,4,621,701,29.03125,95190,538.16248
2015,1,22,18,25,29,644,702,29.081249,95184,539.03973
2015,1,22,18,39,35,625,699,28.575001,95169,539.82715
2015,1,22,18,39,58,573,700,28.6,95173,539.56293
2015,1,22,18,40,22,636,591,28.6625,95173,539.73993
2015,1,22,18,40,49,642,677,28.74375,95168,539.30133
2015,1,22,18,41,12,611,686,28.8375,95168,539.56293
2015,1,22,18,55,10,640,673,28.775,95173,539.73993
2015,1,22,18,55,37,636,699,28.793751,95166,540.1759
2015,1,22,18,56,9,639,648,28.9,95165,539.65271
2015,1,22,18,56,34,648,690,28.9625,95170,540.00153
2015,1,27,16,26,12,610,674,26.0625,94925,561.65228
2015,1,27,16,26,38,575,633,26.19375,94930,561.12653
2015,1,27,16,27,2,623,687,26.3375,94931,561.12653
2015,1,27,16,41,7,641,734,28.53125,94936,560.60071
2015,1,27,16,41,33,648,737,28.61875,94940,560.24927
2015,1,27,16,42,0,623,733,28.7125,94942,560.33649
2015,1,27,16,42,26,647,733,28.81875,94938,560.42365
2015,1,27,16,56,2,600,729,29.731251,94945,559.10779
2015,1,27,16,56,31,655,736,29.793751,94937,560.86224
2015,1,27,16,56,58,655,733,29.893749,94942,560.33649
2015,1,27,17,11,0,660,739,30.15625,94938,560.51086
2015,1,27,17,11,26,662,757,30.1875,94937,560.24927
2015,1,27,17,11,49,664,763,30.237499,94941,559.89783
2015,1,27,17,26,14,675,786,30.36875,94935,561.03931
2015,1,27,17,26,39,655,787,30.424999,94930,561.39075
2015,1,27,17,27,4,676,787,30.46875,94939,560.42365
2015,1,27,17,41,9,664,763,30.7125,94924,561.7395
2015,1,27,17,41,33,673,789,30.737499,94921,561.91656
2015,1,27,17,42,1,666,788,30.78125,94925,561.3009
2015,1,27,17,56,14,662,764,30.88125,94931,560.77509
2015,1,27,17,56,55,678,802,30.9625,94920,561.56512
2015,1,27,17,57,24,680,794,31.012501,94924,561.21368
2015,1,27,18,12,19,672,784,31.18125,94924,561.56512
2015,1,27,18,12,46,680,766,31.225,94926,561.12653
2015,1,27,18,13,12,682,796,31.262501,94923,561.47791
2015,1,27,18,13,42,679,737,31.331249,94923,561.12653
2015,1,27,18,27,18,677,784,31.293751,94915,562.35516
2015,1,27,18,27,43,677,789,31.3125,94913,562.35516
2015,1,27,18,28,6,673,761,31.35,94914,562.00372
2015,1,27,18,28,31,641,779,31.387501,94912,562.1781
2015,1,28,1,46,30,0,1,27.375,94802,572.27423
2015,1,28,12,52,18,544,512,26,91780,841.30267
2015,1,28,12,52,45,549,510,26.137501,91786,840.9433
2015,1,28,12,53,9,520,516,26.25,91783,840.9433
2015,1,28,13,7,20,561,536,24.21875,91795,840.22198
2015,1,28,13,7,44,490,529,24.237499,91786,840.40161
2015,1,28,13,8,8,561,517,24.293751,91787,840.49146
2015,1,28,13,22,35,368,539,23.11875,91783,840.40161
2015,1,28,13,22,59,583,582,23.15,91783,840.67377
