Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,2,7,13,12,29,586,552,23.73749900,66514.00000000,3425.71340000
2015,2,7,13,12,56,604,555,23.88125000,66508.00000000,3426.41360000
2015,2,7,13,13,19,605,549,23.98749900,66509.00000000,3425.24560000
2015,2,7,13,13,49,595,552,24.13125000,66510.00000000,3426.06490000
2015,2,7,13,23,19,604,526,23.49375000,66511.00000000,3426.41360000
2015,2,7,13,23,42,607,576,23.48749900,66513.00000000,3425.47830000
2015,2,7,13,24,6,597,868,23.46250000,66515.00000000,3425.24560000
2015,2,7,13,24,33,606,480,23.46250000,66513.00000000,3426.29740000
2015,2,7,13,24,58,597,551,23.46250000,66508.00000000,3427.11650000
2015,2,7,13,34,2,595,564,23.36249900,66518.00000000,3425.47830000
2015,2,7,13,34,25,611,614,23.32500100,66518.00000000,3425.71340000
2015,2,7,13,34,48,611,570,23.30625000,66510.00000000,3425.71340000
2015,2,7,13,35,10,609,774,23.31250000,66512.00000000,3425.71340000
2015,2,7,13,35,33,614,572,23.31250000,66516.00000000,3425.59450000
2015,2,7,13,43,11,608,563,21.47500000,66517.00000000,3425.24560000
2015,2,7,13,43,34,615,577,21.41250000,66514.00000000,3425.94580000
2015,2,7,13,43,58,613,574,21.36875000,66517.00000000,3425.47830000
2015,2,7,13,44,21,612,574,21.35625100,66519.00000000,3425.59450000
2015,2,7,13,52,40,616,585,19.10000000,66512.00000000,3426.29740000
2015,2,7,13,53,3,618,586,19.06875000,66513.00000000,3425.36210000
2015,2,7,13,53,26,614,584,19.03125000,66513.00000000,3426.29740000
2015,2,7,13,53,49,614,585,19.03125000,66510.00000000,3425.82960000
2015,2,7,14,2,43,611,581,17.38125000,66522.00000000,3424.54300000
2015,2,7,14,3,6,604,582,17.29999900,66516.00000000,3424.54300000
2015,2,7,14,3,30,610,581,17.24375000,66521.00000000,3424.30760000
2015,2,7,14,3,55,611,583,17.15625000,66518.00000000,3425.01050000
2015,2,7,14,13,55,613,588,15.30625000,66529.00000000,3424.42650000
2015,2,7,14,14,19,611,586,15.26875000,66532.00000000,3424.19140000
2015,2,7,14,14,41,611,584,15.27500000,66529.00000000,3423.72390000
2015,2,7,14,15,4,613,582,15.27500000,66529.00000000,3424.07520000
2015,2,7,14,24,14,608,591,15.11250000,66529.00000000,3423.84010000
2015,2,7,14,24,41,613,563,15.11250000,66522.00000000,3425.01050000
2015,2,7,14,25,4,618,587,15.13750000,66533.00000000,3423.72390000
2015,2,7,14,25,28,611,592,15.18125000,66527.00000000,3424.19140000
2015,2,7,14,34,52,611,587,14.56875000,66537.00000000,3423.25610000
2015,2,7,14,35,17,606,590,14.53125000,66531.00000000,3422.20190000
2015,2,7,14,35,40,603,589,14.50000000,66542.00000000,3422.08540000
2015,2,7,14,44,50,607,584,14.61875000,66519.00000000,3423.60740000
2015,2,7,14,45,13,583,581,14.64375000,66531.00000000,3423.72390000
2015,2,7,14,45,37,601,564,14.66875000,66537.00000000,3423.02100000
2015,2,7,14,46,1,606,588,14.72500000,66528.00000000,3424.07520000
2015,2,7,14,53,34,607,591,14.66250000,66526.00000000,3423.25610000
2015,2,7,14,54,1,614,594,14.68125000,66526.00000000,3424.07520000
2015,2,7,14,54,24,609,580,14.72500000,66529.00000000,3424.42650000
2015,2,7,15,4,40,601,581,14.75625000,66526.00000000,3423.37230000
2015,2,7,15,5,4,604,585,14.75625000,66523.00000000,3423.72390000
2015,2,7,15,5,28,603,571,14.75000000,66522.00000000,3424.89430000
2015,2,7,15,13,52,598,570,14.88125000,66526.00000000,3424.77540000
2015,2,7,15,14,17,605,587,14.89375000,66526.00000000,3423.72390000
2015,2,7,15,14,42,605,583,14.93750000,66527.00000000,3424.89430000
2015,2,7,15,25,31,606,585,14.65625000,66521.00000000,3425.59450000
2015,2,7,15,25,55,602,570,14.64375000,66521.00000000,3424.07520000
2015,2,7,15,34,41,607,586,13.70625000,66533.00000000,3423.25610000
2015,2,7,15,35,5,601,578,13.68125000,66525.00000000,3424.07520000
2015,2,7,15,35,29,603,581,13.65625000,66526.00000000,3424.30760000