Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,2,7,13,13,19,605,555,23.98749900,66509.00000000,3425.24560000
2015,2,7,13,23,42,607,576,23.48749900,66513.00000000,3425.47830000
2015,2,7,13,35,33,614,614,23.31250000,66516.00000000,3425.59450000
2015,2,7,13,43,34,615,577,21.41250000,66514.00000000,3425.94580000
2015,2,7,13,53,3,618,586,19.06875000,66513.00000000,3425.36210000
2015,2,7,14,3,55,611,583,17.15625000,66518.00000000,3425.01050000
2015,2,7,14,13,55,613,588,15.30625000,66529.00000000,3424.42650000
2015,2,7,14,25,4,618,592,15.13750000,66533.00000000,3423.72390000
2015,2,7,14,34,52,611,590,14.56875000,66537.00000000,3423.25610000
2015,2,7,14,44,50,607,588,14.61875000,66519.00000000,3423.60740000
2015,2,7,14,54,1,614,594,14.68125000,66526.00000000,3424.07520000
2015,2,7,15,5,4,604,585,14.75625000,66523.00000000,3423.72390000
2015,2,7,15,14,17,605,587,14.89375000,66526.00000000,3423.72390000
2015,2,7,15,25,31,606,585,14.65625000,66521.00000000,3425.59450000
2015,2,7,15,34,41,607,586,13.70625000,66533.00000000,3423.25610000

