Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,2,7,13,11,39,668,600,21.41250000,66449.00000000,3432.97170000
2015,2,7,13,12,12,662,603,21.45624900,66456.00000000,3433.32320000
2015,2,7,13,12,35,668,602,21.56250000,66455.00000000,3431.68240000
2015,2,7,13,21,56,629,603,22.43750000,66451.00000000,3432.85280000
2015,2,7,13,22,21,677,608,22.53750000,66449.00000000,3433.20430000
2015,2,7,13,22,45,581,550,22.65625000,66453.00000000,3432.15260000
2015,2,7,13,23,10,677,594,22.78750000,66444.00000000,3432.26880000
2015,2,7,13,31,51,607,552,24.53125000,66449.00000000,3433.20430000
2015,2,7,13,32,17,475,596,24.54375100,66448.00000000,3433.20430000
2015,2,7,13,32,42,678,617,24.57500100,66446.00000000,3433.08790000
2015,2,7,13,33,7,600,618,24.66875100,66453.00000000,3432.38530000
2015,2,7,13,33,45,541,453,24.83750000,66449.00000000,3433.08790000
2015,2,7,13,34,25,674,621,25.08750000,66453.00000000,3432.85280000
2015,2,7,13,42,2,637,610,23.88125000,66449.00000000,3433.08790000
2015,2,7,13,42,33,682,620,23.84375000,66454.00000000,3431.68240000
2015,2,7,13,42,56,668,610,23.85625100,66452.00000000,3433.55570000
2015,2,7,13,43,37,657,614,24.01250100,66458.00000000,3432.50150000
2015,2,7,13,44,11,678,610,24.16250000,66448.00000000,3432.50150000
2015,2,7,13,51,52,683,629,22.25000000,66456.00000000,3432.15260000
2015,2,7,13,52,16,682,613,22.25000000,66463.00000000,3431.56590000
2015,2,7,13,52,40,687,615,22.29999900,66449.00000000,3433.43950000
2015,2,7,14,2,13,683,611,19.29375100,66459.00000000,3431.21460000
2015,2,7,14,2,37,676,627,19.25000000,66467.00000000,3430.62790000
2015,2,7,14,3,1,668,630,19.27500000,66465.00000000,3431.68240000
2015,2,7,14,3,27,655,616,19.34375000,66473.00000000,3430.97950000
2015,2,7,14,4,16,681,628,19.58750000,66460.00000000,3432.26880000
2015,2,7,14,12,29,664,637,18.21250000,66461.00000000,3431.33080000
