Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_
2015,2,7,13,12,35,668,603,21.56250000,66455.00000000,3431.68240000
2015,2,7,13,22,21,677,608,22.53750000,66449.00000000,3433.20430000
2015,2,7,13,32,42,678,621,24.57500100,66446.00000000,3433.0879000
2015,2,7,13,42,33,682,620,23.84375000,66454.00000000,3431.68240000
2015,2,7,13,52,40,687,629,22.29999900,66449.00000000,3433.43950000
2015,2,7,14,2,13,683,628,19.29375100,66459.00000000,3431.21460000
2015,2,7,14,15,8,674,637,18.78750000,66467.00000000,3431.56590000
2015,2,7,14,24,13,687,645,19.35625100,66471.00000000,3430.16040000
2015,2,7,14,32,32,681,641,18.71250000,66459.00000000,3430.97950000
2015,2,7,14,48,2,678,638,21.05625000,66466.00000000,3431.21460000
2015,2,7,14,54,58,682,638,21.20000100,66459.00000000,3431.91750000
2015,2,7,15,3,42,682,632,19.81250000,66476.00000000,3430.16040000
2015,2,7,15,14,53,675,624,20.28750000,66460.00000000,3431.56590000
2015,2,7,15,34,55,669,625,19.70624900,66472.00000000,3429.69260000
2015,2,7,15,42,55,652,626,19.45000100,66458.00000000,3430.74680000
