Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,2,7,13,11,13,534,567,21.49375000,66673.00000000,3407.23850000
2015,2,7,13,11,37,605,377,21.66875100,66676.00000000,3406.42210000
2015,2,7,13,12,1,639,564,21.82500100,66674.00000000,3406.88990000
2015,2,7,13,12,24,615,554,21.94375000,66680.00000000,3407.12230000
2015,2,7,13,12,50,648,571,22.08124900,66676.00000000,3406.77370000
2015,2,7,13,21,33,631,577,19.71875000,66681.00000000,3405.95460000
2015,2,7,13,21,57,638,564,19.81875000,66678.00000000,3405.83810000
2015,2,7,13,22,21,657,581,19.91250000,66683.00000000,3406.07080000
2015,2,7,13,22,45,624,553,19.99375000,66677.00000000,3406.30590000
2015,2,7,13,23,7,632,560,20.05625000,66677.00000000,3406.42210000
2015,2,7,13,31,33,612,529,22.47500000,66675.00000000,3406.42210000
2015,2,7,13,31,55,658,591,22.56875000,66678.00000000,3406.53830000
2015,2,7,13,32,18,621,594,22.66250000,66683.00000000,3406.18970000
2015,2,7,13,32,40,620,590,22.73125100,66675.00000000,3406.77370000
2015,2,7,13,33,2,595,591,22.79375100,66680.00000000,3405.95460000
2015,2,7,13,33,24,659,385,22.83750000,66686.00000000,3406.18970000
2015,2,7,13,33,48,626,543,22.88125000,66679.00000000,3405.60570000
2015,2,7,13,41,40,654,594,21.35625100,66679.00000000,3406.42210000
2015,2,7,13,42,3,660,474,21.33750000,66686.00000000,3406.18970000
2015,2,7,13,42,27,658,587,21.33750000,66676.00000000,3405.95460000
2015,2,7,13,42,51,652,594,21.35625100,66686.00000000,3406.18970000
2015,2,7,13,51,21,642,592,19.16250000,66681.00000000,3406.07080000
2015,2,7,13,51,42,654,531,19.11249900,66680.00000000,3406.30590000
2015,2,7,13,52,6,660,594,19.09375000,66681.00000000,3405.13790000
2015,2,7,14,1,46,660,599,16.62500000,66689.00000000,3404.55400000
2015,2,7,14,2,10,652,598,16.54999900,66691.00000000,3404.90280000
