Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,2,7,13,12,50,648,571,22.08124900,66676.00000000,3406.77370000
2015,2,7,13,22,21,657,581,19.91250000,66683.00000000,3406.07080000
2015,2,7,13,33,24,659,594,22.83750000,66686.00000000,3406.18970000
2015,2,7,13,42,3,660,594,21.33750000,66686.00000000,3406.18970000
2015,2,7,13,52,6,660,594,19.09375000,66681.00000000,3405.13790000
2015,2,7,14,2,32,660,600,16.50000000,66685.00000000,3404.90280000
2015,2,7,14,13,42,659,605,14.72500000,66695.00000000,3404.43770000
2015,2,7,14,22,14,658,605,14.60625000,66699.00000000,3404.43770000
2015,2,7,14,32,11,662,605,13.66250000,66699.00000000,3403.97020000
2015,2,7,14,43,50,656,585,14.00625000,66699.00000000,3404.08640000
2015,2,7,14,52,16,657,583,14.61250000,66696.00000000,3404.20260000
2015,2,7,15,4,27,651,587,15.43125000,66691.00000000,3405.60570000
2015,2,7,15,13,18,653,598,14.94375000,66695.00000000,3404.90280000
2015,2,7,15,23,38,656,586,14.41875000,66695.00000000,3404.67040000
2015,2,7,15,32,48,650,596,14.11250000,66703.00000000,3404.20260000
2015,2,7,15,42,28,651,588,14.31250000,66697.00000000,3404.43770000
