Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,1,22,15,9,58,541,516,27.0375,95128,543.50519
2015,1,22,15,25,33,632,518,27.456249,95107,545.08258
2015,1,22,15,39,58,664,561,27.6875,95114,545.34418
2015,1,22,15,55,28,663,560,27.987499,95112,545.78284
2015,1,22,16,10,24,678,596,28.237499,95097,546.57019
2015,1,22,16,25,24,708,636,28.6625,95079,546.92163
2015,1,22,16,40,25,716,652,29.40625,95070,547.44745
2015,1,22,16,55,26,763,688,30.706249,95059,549.4635
2015,1,22,17,13,32,765,684,29.46875,95040,550.25092
2015,1,22,17,25,33,756,687,29.625,95030,552.17975
2015,1,22,17,40,49,763,693,29.674999,95021,553.05701
2015,1,22,17,57,21,770,707,29.7875,94996,555.07306
2015,1,22,18,11,25,764,703,29.81875,94973,556.47607
2015,1,22,18,25,27,756,692,29.487499,94967,557.26611
2015,1,22,18,40,54,765,691,29.125,94967,558.31775
2015,1,22,18,56,25,773,691,29.18125,94939,560.0722
