Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,1,16,15,7,49,338,597,25.1437,95239,560
2015,1,16,15,8,46,601,607,25.456249,95232,560
2015,1,16,15,23,4,640,645,27.0625,95223,560
2015,1,16,15,37,34,642,647,27.80625,95210,560
2015,1,16,15,52,29,609.33,644,28.31875,95215,560
2015,1,16,15,53,32,646,656,28.518749,95213,560
2015,1,16,16,7,39,626,678,28.956249,95210,560
2015,1,16,16,9,9,654,562,29.15,95207,560
2015,1,16,16,22,48,663,688,29.481251,95194,560
2015,1,16,16,37,34,658.33,686,29.40625,95192,560
2015,1,16,16,52,36,260,511,29.706249,95189,560
2015,1,16,16,53,5,662,609,29.75,95182,560
2015,1,16,16,53,53,570,704.33,29.856251,95180,560
