Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,6,27,11,50,31,299,298,15.25625,54434,4956.2876
2015,6,27,12,3,11,334,387,11.9,54424,4955.7354
2015,6,27,12,19,4,364,472,8.5874996,54455,4954.084
2015,6,27,12,27,36,375,509,7.875,54451,4952.8472
2015,6,27,12,30,5,379,521,7.6750002,54449,4954.084
2015,6,27,12,38,45,381,538,6.9499998,54454,4953.5342
2015,6,27,12,39,45,387,554,7.1999998,54469,4952.707
2015,6,27,12,41,50,386,557,7.8312502,54452,4952.5698
2015,6,27,12,51,4,401,589,8.3687496,54463,4951.3335
2015,6,27,12,53,51,402,596,8.4499998,54465,4952.2949
2015,6,27,13,3,39,408,622,7.65625,54464,4951.7456
2015,6,27,13,21,41,420,662,8.0249996,54480,4951.3335
2015,6,27,13,28,18,425,679,8.4250002,54470,4951.0586
2015,6,27,13,43,9,429,700,9.9750004,54478,4949.9565
2015,6,27,13,59,11,432,715,9.0625,54478,4949.4072

