Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,6,27,11,51,9,308,329,15.6875,54720,4917.2769
2015,6,27,12,2,11,326,410,13.60625,54718,4918.0986
2015,6,27,12,13,46,363,478,15.01875,54730,4916.73
2015,6,27,12,26,10,379,538,11.875,54737,4914.8091
2015,6,27,12,30,57,380,546,12.75625,54743,4914.5371
2015,6,27,12,41,38,401,584,10.775,54747,4913.3032
2015,6,27,12,50,33,413,618,10.73125,54756,4912.6187
2015,6,27,12,55,40,410,631,11.88125,54753,4912.2065
2015,6,27,13,3,47,426,652,12.28125,54757,4912.0718
2015,6,27,13,20,49,440,694,13.29375,54770,4909.8784
2015,6,27,13,28,58,444,714,12.7875,54762,4911.6597
2015,6,27,13,42,9,448,731,12.36875,54762,4911.25
2015,6,27,13,56,44,450,741,9.5874996,54765,4910.8379
2015,6,27,13,58,8,450,748,9.9562502,54767,4910.4258
